,PET.RWTC.D,PET.RBRTE.D,Spread,5-MA,10-MA
2018-01-02,60.37,66.65,6.280000000000008,,
2018-01-03,61.61,67.85,6.239999999999995,,
2018-01-04,61.98,68.73,6.750000000000007,,
2018-01-05,61.49,68.01,6.520000000000003,,
2018-01-08,61.73,68.48,6.750000000000007,6.5080000000000044,
2018-01-09,62.92,69.08,6.159999999999997,6.484000000000002,
2018-01-10,63.6,69.79,6.190000000000005,6.474000000000004,
2018-01-11,63.81,70.36,6.549999999999997,6.434000000000002,
2018-01-12,64.22,69.64,5.420000000000002,6.214000000000001,
2018-01-15,64.22,70.31,6.090000000000003,6.082000000000001,6.295000000000003
2018-01-16,63.82,69.4,5.580000000000005,5.966000000000003,6.225000000000002
2018-01-17,63.92,69.19,5.269999999999996,5.782000000000001,6.128000000000002
2018-01-18,63.96,69.48,5.520000000000003,5.576000000000002,6.005000000000001
2018-01-19,63.38,68.56,5.18,5.528000000000001,5.871
2018-01-22,63.66,69.32,5.659999999999997,5.442,5.762
2018-01-23,64.45,69.81,5.359999999999999,5.397999999999999,5.682
2018-01-24,65.69,69.91,4.219999999999999,5.188,5.484999999999999
2018-01-25,65.62,71.08,5.459999999999994,5.1759999999999975,5.3759999999999994
2018-01-26,66.27,70.08,3.8100000000000023,4.901999999999998,5.214999999999999
2018-01-29,65.71,68.41,2.700000000000003,4.31,4.8759999999999994
2018-01-30,64.64,67.78,3.1400000000000006,3.8659999999999997,4.631999999999999
2018-01-31,64.82,67.78,2.960000000000008,3.6140000000000017,4.401
2018-02-01,65.92,68.6,2.6799999999999926,3.058000000000001,4.116999999999999
2018-02-02,65.5,67.45,1.9500000000000028,2.6860000000000013,3.793999999999999
2018-02-05,64.18,67.69,3.509999999999991,2.847999999999999,3.5789999999999984
2018-02-06,63.48,66.75,3.270000000000003,2.8739999999999997,3.3699999999999988
2018-02-07,61.91,65.74,3.8299999999999983,3.0479999999999974,3.3309999999999986
2018-02-08,61.3,64.26,2.960000000000008,3.1040000000000005,3.0810000000000004
2018-02-09,59.2,63.04,3.8399999999999963,3.4819999999999993,3.0839999999999996
2018-02-12,59.41,62.2,2.7900000000000063,3.3380000000000023,3.093
2018-02-13,59.33,61.94,2.6099999999999994,3.2060000000000017,3.04
2018-02-14,60.7,62.29,1.5899999999999963,2.7580000000000013,2.9029999999999987
2018-02-15,61.48,62.86,1.3800000000000026,2.442,2.7729999999999997
2018-02-16,61.89,64.3,2.4099999999999966,2.156,2.818999999999999
2018-02-19,61.89,64.95,3.0600000000000023,2.2099999999999995,2.774
2018-02-20,61.91,64.68,2.7700000000000102,2.2420000000000018,2.724000000000001
2018-02-21,61.73,64.81,3.0800000000000054,2.5400000000000036,2.649000000000002
2018-02-22,62.72,66.12,3.4000000000000057,2.944000000000004,2.6930000000000014
2018-02-23,63.52,67.04,3.520000000000003,3.1660000000000053,2.6610000000000023
2018-02-26,63.81,67.96,4.1499999999999915,3.384000000000003,2.7970000000000006
2018-02-27,62.94,67.59,4.650000000000006,3.7600000000000025,3.0010000000000012
2018-02-28,61.43,66.08,4.649999999999999,4.074000000000001,3.3070000000000013
2018-03-01,60.98,64.23,3.250000000000007,4.044000000000001,3.494000000000002
2018-03-02,61.19,64.26,3.0700000000000074,3.954000000000002,3.560000000000003
2018-03-05,62.49,65.78,3.289999999999999,3.7820000000000036,3.583000000000003
2018-03-06,62.54,65.67,3.1300000000000026,3.478000000000003,3.619000000000002
2018-03-07,61.09,65.09,4.0,3.3480000000000034,3.711000000000001
2018-03-08,60.13,63.87,3.739999999999995,3.4460000000000006,3.745
2018-03-09,62.02,65.19,3.1699999999999946,3.4659999999999984,3.7099999999999995
2018-03-12,61.35,64.53,3.1799999999999997,3.443999999999998,3.6130000000000004
2018-03-13,60.69,64.2,3.510000000000005,3.5199999999999987,3.499
2018-03-14,60.89,63.61,2.719999999999999,3.2639999999999985,3.306
2018-03-15,61.16,63.67,2.510000000000005,3.0180000000000007,3.232
2018-03-16,62.29,64.68,2.3900000000000077,2.862000000000003,3.164
2018-03-19,62.01,64.82,2.809999999999995,2.7880000000000025,3.1159999999999997
2018-03-20,63.37,66.0,2.6300000000000026,2.612000000000002,3.066
2018-03-21,65.1,68.15,3.0500000000000114,2.6780000000000044,2.971000000000001
2018-03-22,64.25,68.98,4.730000000000004,3.1220000000000043,3.0700000000000016
2018-03-23,65.8,69.03,3.230000000000004,3.2900000000000036,3.0760000000000027
2018-03-26,65.49,68.81,3.3200000000000074,3.3920000000000057,3.0900000000000034
2018-03-27,65.21,68.63,3.4200000000000017,3.5500000000000056,3.081000000000003
2018-03-28,64.3,68.13,3.8299999999999983,3.706000000000003,3.192000000000003
2018-03-29,64.87,69.02,4.1499999999999915,3.5900000000000007,3.3560000000000016
2018-04-02,63.05,69.02,5.969999999999999,4.138,3.714000000000001
2018-04-03,63.41,69.02,5.609999999999999,4.595999999999998,3.994000000000001
2018-04-04,63.35,66.04,2.690000000000005,4.449999999999998,4.000000000000002
2018-04-05,63.53,66.54,3.010000000000005,4.286,3.996000000000001
2018-04-06,62.03,66.51,4.480000000000004,4.352000000000002,3.971000000000001
2018-04-09,63.4,68.19,4.789999999999999,4.116000000000002,4.127000000000001
2018-04-10,65.48,70.67,5.189999999999998,4.032000000000002,4.313999999999999
2018-04-11,66.81,72.74,5.929999999999993,4.68,4.564999999999999
2018-04-12,67.07,71.44,4.3700000000000045,4.952,4.618999999999999
2018-04-13,67.35,73.18,5.8300000000000125,5.222000000000001,4.787000000000001
2018-04-16,66.23,73.18,6.950000000000003,5.654000000000002,4.885000000000002
2018-04-17,66.5,71.71,5.209999999999994,5.658000000000001,4.845000000000001
2018-04-18,68.44,73.73,5.290000000000006,5.530000000000004,5.105000000000001
2018-04-19,68.3,74.85,6.549999999999997,5.966000000000003,5.4590000000000005
2018-04-20,68.26,74.62,6.359999999999999,6.072,5.647
2018-04-23,67.61,74.54,6.930000000000007,6.0680000000000005,5.861000000000001
2018-04-24,67.66,75.86,8.200000000000003,6.666000000000002,6.162000000000001
2018-04-25,68.0,73.79,5.790000000000006,6.766000000000003,6.1480000000000015
2018-04-26,68.18,75.39,7.209999999999994,6.8980000000000015,6.432
2018-04-27,68.11,75.33,7.219999999999999,7.070000000000002,6.571
2018-04-30,68.56,75.92,7.359999999999999,7.156000000000001,6.611999999999999
2018-05-01,67.28,74.85,7.569999999999993,7.0299999999999985,6.847999999999999
2018-05-02,67.91,73.14,5.230000000000004,6.9179999999999975,6.841999999999999
2018-05-03,68.45,73.45,5.0,6.475999999999999,6.686999999999999
2018-05-04,69.71,74.75,5.040000000000006,6.040000000000001,6.555
2018-05-07,70.74,74.75,4.010000000000005,5.370000000000002,6.263
2018-05-08,68.83,74.16,5.329999999999998,4.922000000000002,5.975999999999999
2018-05-09,71.16,77.6,6.439999999999998,5.1640000000000015,6.040999999999999
2018-05-10,71.36,77.59,6.230000000000004,5.410000000000002,5.943
2018-05-11,70.69,77.37,6.680000000000007,5.738000000000002,5.889
2018-05-14,71.01,78.17,7.159999999999997,6.368,5.869
2018-05-15,71.34,78.94,7.599999999999994,6.822,5.872
2018-05-16,71.43,78.19,6.759999999999991,6.885999999999998,6.024999999999999
2018-05-17,71.47,80.09,8.620000000000005,7.363999999999999,6.386999999999999
2018-05-18,71.23,78.38,7.1499999999999915,7.457999999999996,6.597999999999997
2018-05-21,72.26,78.34,6.079999999999998,7.2419999999999956,6.804999999999997
2018-05-22,72.09,80.42,8.329999999999998,7.387999999999996,7.104999999999997
2018-05-23,71.85,78.69,6.840000000000003,7.403999999999999,7.144999999999998
2018-05-24,70.77,78.9,8.13000000000001,7.306,7.334999999999998
2018-05-25,67.92,76.6,8.679999999999993,7.612,7.534999999999997
2018-05-29,66.8,74.51,7.710000000000008,7.938000000000002,7.589999999999998
2018-05-30,68.24,75.89,7.650000000000006,7.802000000000004,7.594999999999999
2018-05-31,66.98,76.45,9.469999999999999,8.328000000000003,7.866
2018-06-01,65.81,74.54,8.730000000000004,8.448000000000002,7.877
2018-06-04,64.76,73.41,8.649999999999991,8.442000000000002,8.027
2018-06-05,65.51,72.91,7.3999999999999915,8.379999999999999,8.158999999999999
2018-06-06,64.75,73.23,8.480000000000004,8.545999999999998,8.174
2018-06-07,65.96,75.23,9.27000000000001,8.506,8.417
2018-06-08,65.77,75.11,9.340000000000003,8.628,8.538
2018-06-11,66.1,74.58,8.480000000000004,8.594000000000003,8.518
2018-06-12,66.38,74.86,8.480000000000004,8.810000000000006,8.595
2018-06-13,66.63,75.07,8.439999999999998,8.802000000000003,8.674
2018-06-14,66.91,74.77,7.859999999999999,8.520000000000001,8.513
2018-06-15,65.01,72.02,7.009999999999991,8.053999999999998,8.340999999999998
2018-06-18,65.91,74.87,8.960000000000008,8.15,8.372
2018-06-19,65.09,74.92,9.829999999999998,8.419999999999998,8.615
2018-06-20,65.92,74.25,8.329999999999998,8.398,8.6
2018-06-21,65.68,72.87,7.189999999999998,8.264,8.392
2018-06-22,69.02,73.67,4.650000000000006,7.792000000000002,7.922999999999999
2018-06-25,69.91,72.82,2.9099999999999966,6.581999999999999,7.365999999999998
2018-06-26,75.23,73.58,-1.6500000000000057,4.285999999999999,6.352999999999997
2018-06-27,77.41,76.09,-1.3199999999999932,2.3560000000000003,5.376999999999998
2018-06-28,73.45,76.26,2.8100000000000023,1.480000000000001,4.871999999999998
2018-06-29,74.13,77.44,3.3100000000000023,1.2120000000000004,4.502
2018-07-02,73.89,76.71,2.819999999999993,1.1939999999999997,3.887999999999998
2018-07-03,74.19,75.87,1.6800000000000068,1.8600000000000023,3.072999999999999
2018-07-04,74.19,76.99,2.799999999999997,2.684,2.5199999999999987
2018-07-05,73.05,77.09,4.040000000000006,2.930000000000001,2.2049999999999996
2018-07-06,73.78,74.98,1.2000000000000028,2.5080000000000013,1.8599999999999994
2018-07-09,73.93,77.08,3.1499999999999915,2.5740000000000007,1.883999999999999
2018-07-10,74.11,77.8,3.6899999999999977,2.975999999999999,2.4179999999999993
2018-07-11,70.47,75.35,4.8799999999999955,3.3919999999999986,3.037999999999998
2018-07-12,70.28,72.11,1.8299999999999983,2.949999999999997,2.9399999999999977
2018-07-13,71.03,74.11,3.0799999999999983,3.325999999999996,2.916999999999997
2018-07-16,68.22,71.03,2.8100000000000023,3.2579999999999982,2.915999999999998
2018-07-17,68.03,70.87,2.8400000000000034,3.0879999999999996,3.031999999999998
2018-07-18,68.78,70.52,1.7399999999999949,2.4599999999999995,2.9259999999999975
2018-07-19,69.42,71.94,2.519999999999996,2.597999999999999,2.7739999999999965
2018-07-20,70.31,71.99,1.6799999999999926,2.317999999999998,2.8219999999999956
2018-07-23,67.9,73.45,5.549999999999997,2.865999999999997,3.0619999999999963
2018-07-24,70.77,73.53,2.760000000000005,2.849999999999997,2.9689999999999968
2018-07-25,71.13,73.67,2.5400000000000063,3.0099999999999993,2.734999999999998
2018-07-26,71.59,74.51,2.9200000000000017,3.0900000000000007,2.8439999999999985
2018-07-27,68.66,74.84,6.180000000000007,3.9900000000000033,3.153999999999999
2018-07-30,71.19,74.99,3.799999999999997,3.6400000000000032,3.252999999999999
2018-07-31,69.88,74.16,4.280000000000001,3.9440000000000026,3.3969999999999985
2018-08-01,68.8,72.28,3.480000000000004,4.132000000000002,3.5709999999999993
2018-08-02,68.95,72.95,4.0,4.348000000000002,3.719
2018-08-03,68.49,72.48,3.990000000000009,3.9100000000000024,3.9500000000000015
2018-08-06,69.01,72.51,3.5,3.8500000000000028,3.745000000000002
2018-08-07,69.17,72.31,3.1400000000000006,3.6220000000000026,3.7830000000000013
2018-08-08,66.92,70.71,3.789999999999992,3.684,3.908
2018-08-09,66.81,70.55,3.739999999999995,3.6319999999999992,3.9899999999999993
2018-08-10,67.61,71.0,3.3900000000000006,3.511999999999998,3.7109999999999985
2018-08-13,67.25,70.62,3.3700000000000045,3.4859999999999984,3.6679999999999993
2018-08-14,67.04,70.77,3.7299999999999898,3.6039999999999965,3.612999999999998
2018-08-15,65.07,68.38,3.3100000000000023,3.5079999999999982,3.595999999999998
2018-08-16,65.44,69.21,3.769999999999996,3.5139999999999985,3.5729999999999977
2018-08-17,65.93,70.14,4.209999999999994,3.6779999999999973,3.594999999999996
2018-08-20,66.5,71.11,4.609999999999999,3.925999999999996,3.705999999999996
